40522.35  1.726E-10  1.292E-12  125.5
 40199.6  2.537E-11  1.736E-13  137.3  
38993.58  1.190E-11  1.116E-13  100.2 
38044.88  1.638E-11  1.330E-13  115.7
37256.74  8.532E-11  5.275E-13  151.9
36573.39  2.182E-11  1.419E-13  144.4
36288.44  7.640E-12  7.217E-14  99.45    
35541.32  4.503E-11  2.218E-13  190.7
 33577.8  5.817E-12  7.252E-14  75.36 
40521.75  1.729E-10  1.292E-12  125.7
40199.96  2.517E-11  1.730E-13  136.7    
38993.55  1.190E-11  1.116E-13  100.2
38045.05  1.649E-11  1.333E-13  116.1
37257.45  8.532E-11  5.277E-13  151.9
36573.39  2.182E-11  1.419E-13  144.4
36288.39  7.655E-12  7.222E-14  99.57    
35541.11  4.506E-11  2.217E-13  190.9
33577.89  5.777E-12  7.238E-14  74.98 
40521.75  1.722E-10  1.290E-12  125.4
40200.07  2.581E-11  1.749E-13  138.6    
38993.53  1.190E-11  1.116E-13  100.2
38045.09  1.630E-11  1.334E-13  114.8
37256.62  8.517E-11  5.275E-13  151.7
 36573.4  2.172E-11  1.416E-13  144.1
36288.54  7.611E-12  7.207E-14  99.21    
35539.65  4.586E-11  2.235E-13  192.8
33577.61  5.767E-12  7.232E-14  74.91
