40401.19  9.196E-14  5.788E-13   -6.294 1.203E-14   45.2  
39943.45  9.572E-14  4.004E-13   -4.183 5.258E-15  71.54  
38846.96  1.083E-13  8.795E-13  -8.122  5.707E-15  144.8
37900.34  1.230E-13  1.045E-12  -8.498  8.316E-15  118.1
37024.91  1.421E-13  4.389E-13  -3.088  5.892E-15  69.97  
36503.26  1.546E-13  2.563E-13  -1.658  3.218E-15  74.81
 35320.3  1.813E-13  3.107E-13  -1.713  3.125E-15  93.41
35043.23  1.869E-13  5.457E-13   -2.92  6.336E-15  80.91
33772.61  2.040E-13  1.189E-12  -5.827  8.360E-15  133.6 
 40405.5  9.169E-14  5.976E-13  -6.518  1.259E-14   44.6
39943.45  9.572E-14  4.004E-13   -4.183 5.258E-15  71.54  
38554.85  1.118E-13  1.102E-12  -9.859  5.443E-15  190.3
37899.88  1.231E-13  1.028E-12  -8.357  8.350E-15  115.7
37022.48  1.423E-13  4.240E-13   -2.98  5.738E-15  69.42 
36501.97  1.546E-13  2.575E-13  -1.666  3.267E-15  74.05
35318.29  1.809E-13  3.575E-13  -1.977  4.006E-15  83.85
35045.57  1.859E-13  6.784E-13  -3.649  7.194E-15  88.58
33771.37  2.051E-13  8.728E-13  -4.255  7.803E-15  105.1 
40406.05  9.206E-14  5.734E-13  -6.228  1.231E-14  43.76
39944.86  9.546E-14  4.317E-13  -4.523  5.510E-15  73.61
38851.25  1.088E-13  7.349E-13  -6.758  5.099E-15  135.4  
37900.38  1.228E-13  1.097E-12  -8.929  8.446E-15   122.
37017.36  1.422E-13  4.604E-13  -3.237  5.841E-15  74.06
36501.18  1.543E-13  2.949E-13  -1.911  3.443E-15  80.47
35332.72  1.812E-13  1.793E-13  -1.977  1.522E-15  110.7
35045.51  1.862E-13  6.105E-13  -3.279  6.995E-15  81.98 
33770.82  2.043E-13  1.093E-12   -5.35  8.298E-15  123.7
