  40779.95  1.139E-11  8.501E-14  125.9
  40473.28  3.036E-12  2.362E-14  120.7
  39200.81  1.414E-12  1.263E-14  105.2   
  37485.62  1.109E-11  6.455E-14  161.4
  36996.71  1.366E-12  1.184E-14  108.4 
  36465.23  9.960E-13  7.709E-15  121.4 
  36116.82  5.614E-13  8.918E-15  59.14
   35799.2  8.521E-13  9.373E-15   85.4
  35438.62  1.637E-12  1.193E-14  128.9
  35226.23  4.310E-12  1.993E-14  203.1 
  34810.14  7.566E-12  2.720E-14  261.3   
  34194.88  3.799E-13  1.337E-14  26.69   
  33981.72  2.846E-12  2.855E-14  93.64
  33778.48  5.728E-12  2.873E-14  187.3   
  40779.98  1.133E-11  8.486E-14  125.4
  40472.98  2.967E-12  2.338E-14  119.2
  39200.71  1.429E-12  1.263E-14  106.3  
  37485.48  1.114E-11  6.457E-14  162.1
   36996.4  1.479E-12  1.204E-14  115.4 
  36452.35  1.038E-12  8.000E-15  121.8
  36116.68  5.607E-13  8.920E-15  59.05
  35799.89  8.553E-13  9.343E-15    86.
  35442.93  1.087E-12  9.500E-15  107.5
  35224.32  5.030E-12  1.864E-14  253.5  
  34809.18  7.656E-12  2.746E-14  261.9   
  34194.87  3.723E-13  1.335E-14   26.2   
  33982.36  2.834E-12  2.860E-14  93.07
  33777.67  5.754E-12  2.877E-14  187.9    
  40780.04  1.137E-11  8.500E-14  125.7
  40473.02  2.984E-12  2.347E-14  119.4
  39200.59  1.428E-12  1.262E-14  106.3    
  37485.68  1.108E-11  6.404E-14  162.5
  36995.83  1.388E-12  1.159E-14  112.5 
  36461.28  9.092E-13  8.133E-15   105.
  36116.51  5.621E-13  8.934E-15  59.11
  35799.95  8.418E-13  9.256E-15  85.43
  35441.68  9.920E-13  9.034E-15  103.2
  35224.04  5.025E-12  1.862E-14  253.6 
  34812.77  7.378E-12  2.729E-14   254.   
  34194.76  3.810E-13  1.351E-14   26.5   
  33981.89  2.858E-12  2.858E-14  93.95
  33778.41  5.779E-12  2.883E-14  188.3
