|ra       |dec       |w1mpro|w1sigmpro|w2mpro|w2sigmpro|w3mpro|w3sigmpro|w4mpro|w4sigmpro|dist    |angle     |
|double   |double    |double|double   |double|double   |double|double   |double|double   |double  |double    |
|deg      |deg       |mag   |mag      |mag   |mag      |mag   |mag      |mag   |mag      |arcsec  |deg       |
10Cas 		1.6105859 64.1961533 5.507  0.153     5.344  0.042     5.506  0.015     5.277  0.032     0.277169 110.290798
omiCas		11.1814572 48.2843302 3.973  0.352     3.366  0.231     2.820  0.011     1.967  0.014     0.402921 110.830477
gammaCas 	14.1774648 60.7167671 -0.912 null      -0.337 null      0.362  0.120     -0.287 0.010     0.441955 77.247177
phiAnd 		17.3755810 47.2417604 4.341  0.299     4.117  0.170     4.337  0.015     4.051  0.021     0.021950 273.745514
V777Cas 	28.9285190 59.2734470 6.164  0.098     5.689  0.051     4.971  0.015     4.101  0.025     0.076160 261.850233
BkCam 		49.9971750 65.6523095 4.706  0.202     4.180  0.146     3.474  0.012     2.619  0.020     0.312253 77.007661
17Tau 		56.2189975 24.1132602 3.811  0.338     3.427  0.192     3.466  0.016     0.807  0.022     0.369163 106.894106
23Tau 		56.5817171 23.9482790 4.263  0.235     3.958  0.141     4.163  0.015     2.988  0.038     0.593457 119.430044
25Tau 		None
28Tau 		57.2968536 24.1366292 4.946  0.218     4.534  0.117     4.183  0.016     3.437  0.022     0.305076 35.254516
12Vul 		297.7671513 22.6099894 5.097  0.198     4.845  0.114     4.780  0.014     4.515  0.027     0.347478 137.006703
28Cyg 		302.3567926 36.8396838 5.276  0.168     5.179  0.062     5.112  0.015     4.526  0.028     0.401535 162.201767
V2113Cyg 	304.2007050 32.3798065 5.984  0.117     5.602  0.053     4.984  0.015     4.349  0.034     0.187388 243.163450
V2119Cyg 	305.9349008 37.4764447 5.704  0.143     5.354  0.062     4.859  0.015     4.261  0.025     0.090030 102.234112
V2120Cyg 	306.3866712 54.6841896 6.638  0.066     6.306  0.024     5.614  0.015     4.827  0.024     0.108232 249.763214
V2123Cyg 	308.2712884 31.6570136 6.896  0.055     6.701  0.022     5.987  0.014     5.048  0.026     0.088709 228.267630
V568Cyg 	310.5929886 35.4562192 6.825  0.053     6.759  0.022     6.512  0.015     5.431  0.032     0.122443 329.164011
60Cyg 		315.2955435 46.1557210 5.112  0.197     4.699  0.069     4.427  0.015     3.940  0.022     0.264543 200.124283
upsCyg 		319.4792846 34.8967517 3.719  0.315     3.142  0.302     2.675  0.011     1.938  0.018     0.651846 237.119547
V2162Cyg 	322.3118736 44.3381368 6.985  0.061     6.781  0.021     6.032  0.014     3.601  0.026     0.065490 68.057531
16Peg 		328.2656780 25.9251087 5.619  0.125     5.444  0.056     5.694  0.015     5.641  0.038     0.202600 236.206614
25Peg 		331.9594943 21.7027540 5.670  0.133     5.287  0.066     4.644  0.014     3.687  0.025     0.773390 210.025743
omiAnd 		345.4803013 42.3259731 3.758  0.415     3.482  0.311     3.605  0.015     3.120  0.028     0.086334 344.440276
betPsc  	345.9692368 3.8200649 4.325  0.322     3.864  0.212     3.300  0.014     2.480  0.018     0.462939 48.683909
