N2:   Límite sup. de Int. de B_L
N1:   Límite inf. de Int. de B_L
B_L:  Flujo integrado (Numerador)
N4:   Límite sup. de Int. de R_L
N3:   Límite inf. de Int. de R_L
R_L:  Flujo integrado (Denominador)
FRat: Razon de flujo integrado B_L/R_L
####
####
Obj.	betPsc		Bk_Cam		10_Cas		28_Cyg		60_Cyg		gamma_Cas	omi_And		omi_Cas
N2	3.4695e+04	3.4702e+04	3.4727e+04	3.4715e+04	3.4728e+04	3.4722e+04	3.4714e+04	3.4711e+04
N1	3.4119e+04	3.4126e+04	3.4113e+04	3.4103e+04	3.4114e+04	3.4105e+04	3.4097e+04	3.4097e+04
B_L	1.5244e-10	2.8870e-10	2.2358e-10	2.6755e-10	3.0139e-10	1.3222e-09	2.6535e-10	7.7801e-10
N4	4.0003e+04	3.9999e+04	4.0023e+04	4.0001e+04	4.0022e+04	3.9998e+04	3.9996e+04	4.0012e+04
N3	3.9311e+04	3.9308e+04	3.9294e+04	3.9311e+04	3.9294e+04	3.9305e+04	3.9302e+04	3.9321e+04
R_L	1.2336e-10	2.5121e-10	1.7455e-10	1.7600e-10	2.2949e-10	1.0244e-09	2.1723e-10	5.1932e-10
FRat	1.2358		1.1492		1.2809		1.5201		1.3133		1.2906	 	1.2215	 	1.4981 
####
Obj.	16_Peg		25_Peg		phi_And		17_Tau		23_Tau		25_Tau		28_Tau		ups_Cyg
N2	3.4706e+04	3.4722e+04	3.4715e+04	3.4724e+04	3.4723e+04	3.4719e+04	3.4708e+04	3.4705e+04
N1	3.4092e+04	3.4108e+04	3.4101e+04	3.4109e+04	3.4106e+04	3.4104e+04	3.4092e+04	3.4091e+04
B_L	3.1079e-10	1.2904e-10	2.4127e-10	7.3720e-10	3.8048e-10	2.9453e-09	1.9993e-10	1.2444e-09
N4	3.9997e+04	4.0019e+04	4.0004e+04	4.0029e+04	4.0003e+04	4.0024e+04	4.0021e+04	4.0002e+04
N3	3.9307e+04	3.9328e+04	3.9314e+04	3.9298e+04	3.9309e+04	3.9293e+04	3.9328e+04	3.9311e+04
R_L	2.2761e-10	1.0237e-10	1.5534e-10	5.9152e-10	2.6198e-10	2.1403e-09	1.1610e-10	9.9670e-10
FRat	1.3655 		1.2605	 	1.5532	 	1.2463	 	1.4523	 	1.3761	 	1.7220	 	1.2485 
####
Obj.	V568_Cyg	V777_Cas	V2113_Cyg	V2119_Cyg	V2120_Cyg 	V2123_Cyg	V2162_Cyg	12_Vul
N2	3.4702e+04	3.4715e+04	3.4710e+04	3.4718e+04	3.4702e+04	3.4712e+04	3.4699e+04	3.4696e+04
N1	3.4126e+04	3.4102e+04	3.4096e+04	3.4102e+04	3.4128e+04	3.4095e+04	3.4121e+04	3.4119e+04
B_L	4.2368e-11	3.5513e-10	2.7915e-10	6.4304e-11	1.3853e-10	7.9533e-11	6.6149e-11	1.1392e-10
N4	4.0003e+04	4.0007e+04	4.0003e+04	3.9993e+04	4.0020e+04	3.9996e+04	4.0013e+04	4.0004e+04
N3	3.9312e+04	3.9317e+04	3.9313e+04	3.9300e+04	3.9293e+04	3.9302e+04	3.9320e+04	3.9312e+04
R_L	3.4105e-11	2.4755e-10	1.8755e-10	4.1023e-11	1.1542e-10	5.4006e-11	5.3474e-11	6.8525e-11
FRat	1.2423	 	1.4345	 	1.4884	 	1.5675	 	1.2002	 	1.4727	 	1.2370	 	1.6624 
